;iso2;year;new_sp;m_cases;f_cases
0;AD;1989;;0.0;0.0
1;AD;1990;;0.0;0.0
2;AD;1991;;0.0;0.0
3;AD;1992;;0.0;0.0
4;AD;1993;15.0;0.0;0.0
5;AD;1994;24.0;0.0;0.0
6;AD;1996;8.0;5.0;3.0
7;AD;1997;17.0;12.0;7.0
8;AD;1998;1.0;1.0;0.0
9;AD;1999;4.0;2.0;1.0
10;AD;2000;1.0;1.0;0.0
11;AD;2001;3.0;3.0;0.0
12;AD;2002;2.0;1.0;1.0
13;AD;2003;7.0;3.0;3.0
14;AD;2004;3.0;2.0;1.0
15;AD;2005;5.0;2.0;3.0
16;AD;2006;8.0;6.0;2.0
17;AD;2007;2.0;0.0;2.0
18;AD;2008;3.0;1.0;2.0
19;AE;1980;;0.0;0.0
20;AE;1981;;0.0;0.0
21;AE;1982;;0.0;0.0
22;AE;1983;;0.0;0.0
23;AE;1984;;0.0;0.0
24;AE;1985;;0.0;0.0
25;AE;1986;;0.0;0.0
26;AE;1987;;0.0;0.0
27;AE;1988;;0.0;0.0
28;AE;1989;;0.0;0.0
29;AE;1990;;0.0;0.0
30;AE;1991;;0.0;0.0
31;AE;1992;;0.0;0.0
32;AE;1994;;0.0;0.0
33;AE;1996;;0.0;0.0
34;AE;1998;;0.0;0.0
35;AE;1999;31.0;33.0;33.0
36;AE;2000;73.0;43.0;27.0
37;AE;2001;69.0;0.0;0.0
38;AE;2002;57.0;25.0;32.0
39;AE;2003;77.0;47.0;30.0
40;AE;2004;57.0;32.0;25.0
41;AE;2005;62.0;0.0;0.0
42;AE;2006;52.0;23.0;29.0
43;AE;2007;56.0;33.0;20.0
44;AE;2008;50.0;28.0;22.0
45;AF;1980;;0.0;0.0
46;AF;1981;;0.0;0.0
47;AF;1982;;0.0;0.0
48;AF;1983;;0.0;0.0
49;AF;1984;;0.0;0.0
50;AF;1985;;0.0;0.0
51;AF;1986;;0.0;0.0
52;AF;1987;;0.0;0.0
53;AF;1988;;0.0;0.0
54;AF;1989;;0.0;0.0
55;AF;1990;;0.0;0.0
56;AF;1991;;0.0;0.0
57;AF;1997;618.0;26.0;102.0
58;AF;1998;1833.0;571.0;1207.0
59;AF;1999;1669.0;228.0;517.0
60;AF;2000;2892.0;915.0;1751.0
61;AF;2001;4639.0;1577.0;3062.0
62;AF;2002;6509.0;2091.0;4418.0
63;AF;2003;6510.0;2105.0;4423.0
64;AF;2004;8273.0;2658.0;5587.0
65;AF;2005;9949.0;3131.0;6818.0
66;AF;2006;12468.0;3949.0;8520.0
67;AF;2007;13213.0;4182.0;9031.0
68;AF;2008;13136.0;4221.0;8915.0
69;AG;1980;;0.0;0.0
70;AG;1981;;0.0;0.0
71;AG;1982;;0.0;0.0
72;AG;1983;;0.0;0.0
73;AG;1984;;0.0;0.0
74;AG;1985;;0.0;0.0
75;AG;1986;;0.0;0.0
76;AG;1987;;0.0;0.0
77;AG;1988;;0.0;0.0
78;AG;1989;;0.0;0.0
79;AG;1990;;0.0;0.0
80;AG;1991;;0.0;0.0
81;AG;1992;;0.0;0.0
82;AG;1995;;0.0;0.0
83;AG;1996;2.0;1.0;1.0
84;AG;1997;;0.0;0.0
85;AG;1998;;0.0;0.0
86;AG;1999;1.0;0.0;0.0
87;AG;2000;3.0;1.0;3.0
88;AG;2001;1.0;0.0;1.0
89;AG;2002;2.0;1.0;3.0
90;AG;2003;1.0;1.0;0.0
